legacy_id,link_llamada
3a318101-1a3c-4a2d-bd91-bf57b9fcb4a7,https://fathom.video/share/7VZFoHQo-SnN3xTnxaXwycwFiy_BGbZ9
3b211644-96b3-4f0b-8f7f-209f7d7561c6,cerrado por wpp
3b55f686-18a2-4cce-82f9-7e1b8c567168,https://fathom.video/share/dsfCLMcxg4DNkf-cRNnT2dsAam84DrsK
3d27dcae-7597-446d-a805-9c9eb7875687,https://fathom.video/share/yNPAvQm9cjSu4pN72vmeSRq7QXaaWV4n
3f0fae75-54f7-4995-bccc-5eca975c4ed2,https://fathom.video/share/RrfxM3aXwy7hCtTW2w547b3sVV4T6C-U
401c39b3-d359-46e6-87a6-abf417658c09,https://fathom.video/share/BnRzKfBRbbg9CLjz2gMm57LqQye8DvKb
40c35961-3df0-44e4-83ba-c4e1eeadd016,https://fathom.video/share/po95WcLgCncn4k75FHNK-As-4NzyGDxf
40de1fa6-4e4c-41fd-b91c-3eb87a03c8bd,https://fathom.video/share/_yspdMQFpZoK5yNsNGe3_DNfYovmYcbr
434245dc-a6db-4bff-8915-640b54378f2a,https://fathom.video/share/zST57Ss7yHkSuo3PByqCqCp12SaL4or7
43481c37-29c0-4d33-8e2a-bc5ad02bf017,https://fathom.video/share/kdBoRnnk1vzN--nGM5c1KWrnPL85DEWa
43e0289c-d6ac-410d-a9b2-f4316fbadf69,https://fathom.video/share/CepX1kh27oiW3QYbbuzvksSaD2yCUzQX
43f71aa4-83f1-4765-8d6e-94cb638c2cb1,https://fathom.video/share/w4DStvzEzExSyz24ZWHsdo8hT28UmY7N
445edeab-eefd-4d77-8268-f6e5ee375c9e,https://fathom.video/share/mAzyJhLcbdztdtmD_RQN6LfZzPKJzQD8
446b767d-d059-48a7-9dc3-e7c714922b19,https://fathom.video/share/ihbV2u_APFxRYLp-U-y3cypWaJrEuzzc
448b0ee6-3699-4fd4-a774-c00d5482270a,No hubo
45e6821a-8d60-4503-95ab-4ab091a8a6ce,https://fathom.video/share/f4czcJDvxyBSj9zTw8rHawFh42GWR5WL
460b746a-3782-4f50-b235-fe614a43510b,https://fathom.video/share/QRs6pzreECTP236suCbG_zPZzFWsotox
4655db82-5845-4fe4-b611-b6f72874ad0a,https://fathom.video/share/A9cP6xLELin66DRigW5xzphZuhix87tv
467511ca-8204-4b11-9c3f-6ccb694d9d89,No hubo
46922ae8-1539-4995-9ca4-f8138868f9ae,https://fathom.video/share/_hzWss8jFzpzp5K_A8zk-4cRQY2ZY6_6
46d4263e-6fe2-445f-bd9a-0cef48ba13cf,https://fathom.video/share/BpH3bHrnx-g7ekAbRHeNdp85sF_Erzkc
46d84e6d-752e-48aa-8003-ca6866520666,https://fathom.video/share/JpZXFuX9MmSPTx64xsP2hjbvgArKVnpT
488777e7-2a8a-4d8c-a24f-d6b8f79c8476,https://fathom.video/share/aQ3CdYpxiKJ_UyA8UdCRdxzzZmfEVyP_
48c9f583-3b8f-4591-acab-8bcfe469b58b,https://fathom.video/share/1sWdsPxzMSGp-Jkc_zWSK3Z88WYqC5s-
